Epm_nEng_100ms,VehV_v_100ms,ActMod_trqInr_100ms,RngMod_trqCrSmin_100ms,CoVeh_trqAcs_100ms,Clth_st_100ms,CoEng_st_100ms,Com_rTSC1VRVCURtdrTq_100ms,Com_rTSC1VRRDTrqReq_100ms,RoadSlope_100ms,Vehicle_Mass
902.5,67.72,1971.936,-140,9.999747,0,3,0,0,1.5,38
1241,63.87,2604,-196,9.999747,0,3,0,0,1.7,38
903,67.28,2208.07,-140,9.999747,0,3,0,0,1.3,38
934.5,68.34,0,-140,9.999747,0,3,0,0,-2.7,49
969,61.28,392.5794,-112,9.999747,0,3,0,0,2.3,49
1198.5,42.41,2607.5,-112,9.999747,0,3,0,0,4.2,49
903.5,67.5,1092.995,-168,9.999747,0,3,0,0,-0.2,38
1173,41.93,2632,-112,9.999747,0,3,0,0,4.8,49
1237.5,76.83,0,-196,9.999747,0,3,0,0,-0.6,38
912.5,68.04,1637.572,-140,9.999747,0,3,0,0,0.6,38
1336.5,47.12,2635.5,-140,9.999747,0,3,0,0,3.1,49
901.5,66.84,1236.544,-140,9.999747,0,3,0,0,-0.2,38
1014.5,52.15,657.6476,-140,9.999747,0,3,0,0,0,49
1275,78.55,0,-196,9.999747,0,3,0,0,-2.5,38
1097.5,47.43,2635.5,-112,9.999747,0,3,0,0,4.2,49
1022,53.08,1522.296,-133.2038,9.999747,0,3,0,0,1.7,49
987,64.73,389.8023,-140,9.999747,0,3,0,0,3.8,49
1266.5,79.22,0,-196,9.999747,0,3,0,0,-3.1,38
1157.5,71.73,1879.5,-168,9.999747,0,3,0,0,1.5,38
1145,70.87,2019.5,-168,9.999747,0,3,0,0,1.9,38
1168,59.59,648.5059,-140,9.999747,0,3,0,0,-1.5,49
1270,78.14,0,-196,9.999747,0,3,0,0,-2.7,38
1159,71.67,1683.5,-168,9.999747,0,3,0,0,1.5,38
1093.5,46.99,1765.341,-140,9.999747,0,3,0,0,2.1,49
942.5,70.07,1179.5,-168,9.999747,0,3,0,0,0.4,38
1335,39.49,1271.976,-168,9.999747,0,3,0,0,4.8,49
1165.5,49.57,2632,-112,9.999747,0,3,0,0,3.1,49
1256,44.4,2632,-140,9.999747,0,3,0,0,4.2,49
898.5,66.54,143.5,-168,9.999747,0,3,0,0,-1.5,38
1161,71.67,1907.5,-168,9.999747,0,3,0,0,1.5,38
1011,52.48,1487.5,-140,9.999747,0,3,0,0,1.7,49
